Gait cycle [%],C7 AP,Vertical,ML,C7 AP,Vertical,ML,C7 AP,Vertical,ML,C7 AP,Vertical,ML,C7 AP,Vertical,ML,C7 AP,Vertical,ML,C7 AP,Vertical,ML,C7 AP,Vertical,ML,C7 AP,Vertical,ML,C7 AP,Vertical,ML,C7 AP,Vertical,ML,C7 AP,Vertical,ML,C7 AP,Vertical,ML,C7 AP,Vertical,ML,C7 AP,Vertical,ML,C7 AP,Vertical,ML,C7 AP,Vertical,ML,C7 AP,Vertical,ML,C7 AP,Vertical,ML,C7 AP,Vertical,ML,C7 AP,Vertical,ML,C7 AP,Vertical,ML,C7 AP,Vertical,ML,C7 AP,Vertical,ML,C7 AP,Vertical,ML,C7 AP,Vertical,ML,C7 AP,Vertical,ML,C7 AP,Vertical,ML,C7 AP,Vertical,ML,C7 AP,Vertical,ML,C7 AP,Vertical,ML,C7 AP,Vertical,ML,C7 AP,Vertical,ML,C7 AP,Vertical,ML,C7 AP,Vertical,ML,C7 AP,Vertical,ML,C7 AP,Vertical,ML,C7 AP,Vertical,ML,C7 AP,Vertical,ML,C7 AP,Vertical,ML,C7 AP,Vertical,ML
-41,-0.337549505,-0.013191386,0.010740099,-0.344867129,-0.012067723,0.02797901,-0.362151881,-0.012220693,0.014047426,-0.346325941,-0.010518119,0.010511881,-0.362890297,-0.011475446,0.008159406,-0.341156634,-0.008,0.010312475,-0.374781089,-0.011610198,0.016596238,-0.366299406,-0.011254257,-0.005518218,-0.385476238,-0.014033366,0.007245446,-0.376582574,-0.014976832,0.001057624,-0.406999505,-0.017951188,0.007142376,-0.372239208,-0.011978416,0.001129703,-0.368212574,-0.013654257,0.004913267,-0.363452079,-0.014537129,0.004705347,-0.336975743,-0.011849307,-0.007220297,-0.325634356,-0.011199406,0.006712376,-0.339633564,-0.010465644,0.009270891,-0.314566337,-0.009623663,0.001389109,-0.324735842,-0.010172376,0.003598614,-0.31393703,-0.009359406,0.009713663,-0.371407327,-0.012540891,0.017667327,-0.35785,-0.012573861,0.010130792,-0.402466337,-0.01178099,-0.010535347,-0.391881188,-0.015423861,0.021161683,-0.373075644,-0.011000594,0.003278911,-0.368456634,-0.009832871,0.000695149,-0.368746634,-0.011556535,-0.004393366,-0.338816337,-0.011229604,0.010293465,-0.35507,-0.010744752,0.007385545,-0.338457228,-0.010972178,0.005078416,-0.34430505,-0.009430099,0.00241396,-0.367735842,-0.008750396,0.008268317,-0.353813762,-0.010423564,0.002426337,-0.350338812,-0.009735347,0.019243861,-0.354934356,-0.009979901,0.010884356,-0.261425743,-0.008512871,-0.001901683,-0.269239109,-0.008046139,0.005912772,-0.265033762,-0.009127129,0.001127624,-0.343264752,-0.007863069,0.000541683,-0.327539901,-0.007629802,0.006178812,-0.32205802,-0.007491782,0.011722475
-40,-0.327929505,-0.011311386,0.013050099,-0.335407129,-0.010417723,0.02990901,-0.352471881,-0.010540693,0.016047426,-0.337235941,-0.009168119,0.012251881,-0.353450297,-0.010275446,0.009359406,-0.332246634,-0.00669,0.012132475,-0.365231089,-0.010190198,0.017836238,-0.356649406,-0.009984257,-0.003838218,-0.375426238,-0.012863366,0.008705446,-0.366282574,-0.014086832,0.002947624,-0.396259505,-0.016981188,0.008712376,-0.362479208,-0.010708416,0.002989703,-0.358562574,-0.012084257,0.006873267,-0.354262079,-0.013367129,0.006435347,-0.328425743,-0.010509307,-0.005180297,-0.317374356,-0.009579406,0.008542376,-0.330903564,-0.009345644,0.010910891,-0.306866337,-0.008293663,0.003379109,-0.316645842,-0.008892376,0.005548614,-0.30599703,-0.008459406,0.011363663,-0.361647327,-0.011270891,0.018917327,-0.34872,-0.011543861,0.011310792,-0.392406337,-0.01028099,-0.009085347,-0.381981188,-0.013923861,0.022081683,-0.363415644,-0.009530594,0.005178911,-0.359136634,-0.008842871,0.002115149,-0.359136634,-0.010316535,-0.002703366,-0.329996337,-0.010139604,0.011893465,-0.34542,-0.009704752,0.009055545,-0.329647228,-0.009952178,0.006498416,-0.33531505,-0.008270099,0.00379396,-0.358015842,-0.007550396,0.009408317,-0.344573762,-0.009253564,0.003786337,-0.341208812,-0.008385347,0.020553861,-0.345664356,-0.008949901,0.012014356,-0.254655743,-0.007432871,8.31683E-06,-0.262639109,-0.007246139,0.007412772,-0.258133762,-0.008127129,0.003097624,-0.334954752,-0.006693069,0.001971683,-0.319089901,-0.006379802,0.007398812,-0.31393802,-0.006361782,0.013022475
-39,-0.318399505,-0.009381386,0.015200099,-0.326017129,-0.008647723,0.03172901,-0.342821881,-0.008820693,0.017877426,-0.328165941,-0.007738119,0.013941881,-0.344060297,-0.009035446,0.010469406,-0.323396634,-0.00538,0.013852475,-0.355751089,-0.008740198,0.018986238,-0.347079406,-0.008634257,-0.002228218,-0.365436238,-0.011543366,0.010145446,-0.356022574,-0.012956832,0.004757624,-0.385569505,-0.015771188,0.010172376,-0.352749208,-0.009328416,0.004749703,-0.348972574,-0.010424257,0.008723267,-0.345102079,-0.012077129,0.008095347,-0.319915743,-0.009089307,-0.003240297,-0.309144356,-0.007909406,0.010262376,-0.322223564,-0.008085644,0.012460891,-0.299146337,-0.006953663,0.005269109,-0.308565842,-0.007552376,0.007408614,-0.29806703,-0.007439406,0.012933663,-0.351967327,-0.009940891,0.020067327,-0.33963,-0.010403861,0.012410792,-0.382356337,-0.00865099,-0.007725347,-0.372101188,-0.012263861,0.022871683,-0.353785644,-0.008020594,0.006968911,-0.349796634,-0.007822871,0.003485149,-0.349566634,-0.008926535,-0.001063366,-0.321206337,-0.008989604,0.013403465,-0.3358,-0.008564752,0.010705545,-0.320897228,-0.008832178,0.007858416,-0.32634505,-0.007030099,0.00511396,-0.348305842,-0.006320396,0.010508317,-0.335433762,-0.008033564,0.005106337,-0.332098812,-0.006965347,0.021783861,-0.336414356,-0.007849901,0.013084356,-0.247865743,-0.006282871,0.001948317,-0.256029109,-0.006336139,0.008892772,-0.251203762,-0.007057129,0.005027624,-0.326664752,-0.005513069,0.003351683,-0.310639901,-0.005099802,0.008538812,-0.30583802,-0.005181782,0.014252475
-38,-0.308969505,-0.007471386,0.017170099,-0.316707129,-0.006837723,0.03342901,-0.333191881,-0.007090693,0.019537426,-0.319125941,-0.006298119,0.015561881,-0.334710297,-0.007785446,0.011479406,-0.314606634,-0.00412,0.015452475,-0.346331089,-0.007290198,0.020016238,-0.337589406,-0.007254257,-0.000678218,-0.355496238,-0.010113366,0.011535446,-0.345822574,-0.011636832,0.006467624,-0.374919505,-0.014361188,0.011512376,-0.343069208,-0.007868416,0.006409703,-0.339472574,-0.008704257,0.010433267,-0.335962079,-0.010697129,0.009675347,-0.311425743,-0.007629307,-0.001440297,-0.300954356,-0.006219406,0.011852376,-0.313573564,-0.006755644,0.013890891,-0.291426337,-0.005633663,0.007019109,-0.300495842,-0.006172376,0.009148614,-0.29013703,-0.006349406,0.014413663,-0.342377327,-0.008550891,0.021097327,-0.33057,-0.009173861,0.013430792,-0.372296337,-0.00692099,-0.006455347,-0.362251188,-0.010493861,0.023551683,-0.344185644,-0.006500594,0.008618911,-0.340416634,-0.006792871,0.004805149,-0.340026634,-0.007436535,0.000516634,-0.312466337,-0.007779604,0.014823465,-0.32621,-0.007374752,0.012315545,-0.312197228,-0.007652178,0.009128416,-0.31741505,-0.005750099,0.00636396,-0.338625842,-0.005090396,0.011538317,-0.326383762,-0.006783564,0.006366337,-0.322998812,-0.005515347,0.022933861,-0.327174356,-0.006719901,0.014104356,-0.241055743,-0.005122871,0.003888317,-0.249399109,-0.005356139,0.010332772,-0.244243762,-0.005947129,0.006897624,-0.318414752,-0.004333069,0.004671683,-0.302209901,-0.003789802,0.009608812,-0.29775802,-0.003981782,0.015412475
-37,-0.299659505,-0.005631386,0.018970099,-0.307487129,-0.005037723,0.03497901,-0.323601881,-0.005350693,0.021037426,-0.310125941,-0.004868119,0.017091881,-0.325400297,-0.006515446,0.012399406,-0.305886634,-0.00294,0.016902475,-0.336991089,-0.005850198,0.020946238,-0.328189406,-0.005844257,0.000801782,-0.345586238,-0.008633366,0.012875446,-0.335672574,-0.010186832,0.008097624,-0.364329505,-0.012791188,0.012732376,-0.333429208,-0.006368416,0.007959703,-0.330052574,-0.006974257,0.011993267,-0.326832079,-0.009267129,0.011145347,-0.302985743,-0.006169307,0.000229703,-0.292824356,-0.004549406,0.013322376,-0.304953564,-0.005395644,0.015200891,-0.283726337,-0.004353663,0.008629109,-0.292445842,-0.004802376,0.010748614,-0.28221703,-0.005209406,0.015763663,-0.332887327,-0.007130891,0.021997327,-0.32153,-0.007903861,0.014360792,-0.362246337,-0.00513099,-0.005255347,-0.352421188,-0.008623861,0.024131683,-0.334615644,-0.004980594,0.010118911,-0.331026634,-0.005772871,0.006055149,-0.330516634,-0.005876535,0.002016634,-0.303756337,-0.006549604,0.016123465,-0.31667,-0.006164752,0.013865545,-0.303557228,-0.006442178,0.010308416,-0.30853505,-0.004440099,0.00754396,-0.328965842,-0.003870396,0.012488317,-0.317403762,-0.005523564,0.007546337,-0.313918812,-0.004055347,0.023993861,-0.317954356,-0.005579901,0.015054356,-0.234235743,-0.004002871,0.005808317,-0.242739109,-0.004346139,0.011722772,-0.237243762,-0.004857129,0.008697624,-0.310184752,-0.003203069,0.005941683,-0.293799901,-0.002479802,0.010618812,-0.28971802,-0.002791782,0.016482475
-36,-0.290469505,-0.003901386,0.020590099,-0.298357129,-0.003287723,0.03639901,-0.314061881,-0.003620693,0.022397426,-0.301185941,-0.003478119,0.018521881,-0.316130297,-0.005245446,0.013219406,-0.297226634,-0.00182,0.018212475,-0.327701089,-0.004430198,0.021756238,-0.318869406,-0.004444257,0.002211782,-0.335716238,-0.007123366,0.014145446,-0.325572574,-0.008636832,0.009627624,-0.353779505,-0.011091188,0.013842376,-0.323829208,-0.004858416,0.009389703,-0.320732574,-0.005234257,0.013423267,-0.317692079,-0.007807129,0.012485347,-0.294565743,-0.004739307,0.001749703,-0.284754356,-0.002919406,0.014662376,-0.296373564,-0.004025644,0.016350891,-0.276036337,-0.003123663,0.010089109,-0.284405842,-0.003462376,0.012188614,-0.27429703,-0.004069406,0.016993663,-0.323497327,-0.005690891,0.022747327,-0.31251,-0.006603861,0.015190792,-0.352196337,-0.00329099,-0.004125347,-0.342611188,-0.006693861,0.024621683,-0.325095644,-0.003480594,0.011478911,-0.321636634,-0.004762871,0.007245149,-0.321036634,-0.004266535,0.003436634,-0.295096337,-0.005299604,0.017333465,-0.30719,-0.004954752,0.015335545,-0.294967228,-0.005222178,0.011388416,-0.29969505,-0.003140099,0.00863396,-0.319325842,-0.002670396,0.013358317,-0.308483762,-0.004283564,0.008666337,-0.304858812,-0.002605347,0.024963861,-0.308764356,-0.004449901,0.015924356,-0.227405743,-0.002942871,0.007678317,-0.236069109,-0.003356139,0.013032772,-0.230223762,-0.003817129,0.010407624,-0.301974752,-0.002123069,0.007151683,-0.285419901,-0.001199802,0.011558812,-0.28169802,-0.001631782,0.017472475
-35,-0.281429505,-0.002301386,0.022070099,-0.289317129,-0.001627723,0.03766901,-0.304591881,-0.001930693,0.023627426,-0.292305941,-0.002138119,0.019831881,-0.306910297,-0.003965446,0.013949406,-0.288646634,-0.00078,0.019382475,-0.318461089,-0.003050198,0.022466238,-0.309639406,-0.003044257,0.003571782,-0.325856238,-0.005603366,0.015345446,-0.315532574,-0.007026832,0.011057624,-0.343299505,-0.009301188,0.014822376,-0.314289208,-0.003348416,0.010719703,-0.311512574,-0.003524257,0.014723267,-0.308572079,-0.006347129,0.013675347,-0.286195743,-0.003349307,0.003119703,-0.276764356,-0.001339406,0.015892376,-0.287813564,-0.002665644,0.017340891,-0.268376337,-0.001973663,0.011379109,-0.276385842,-0.002152376,0.013478614,-0.26637703,-0.002949406,0.018093663,-0.314197327,-0.004240891,0.023367327,-0.3035,-0.005303861,0.015920792,-0.342156337,-0.00145099,-0.003065347,-0.332831188,-0.004743861,0.025051683,-0.315635644,-0.002000594,0.012698911,-0.312266634,-0.003772871,0.008355149,-0.311596634,-0.002646535,0.004766634,-0.286496337,-0.004049604,0.018423465,-0.29778,-0.003774752,0.016705545,-0.286437228,-0.004022178,0.012378416,-0.29090505,-0.001860099,0.00964396,-0.309735842,-0.001490396,0.014138317,-0.299613762,-0.003053564,0.009706337,-0.295828812,-0.001195347,0.025843861,-0.299614356,-0.003339901,0.016714356,-0.220575743,-0.001982871,0.009478317,-0.229389109,-0.002426139,0.014272772,-0.223203762,-0.002847129,0.012007624,-0.293794752,-0.001103069,0.008291683,-0.277059901,4.0198E-05,0.012438812,-0.27370802,-0.000511782,0.018392475
-34,-0.272529505,-0.000851386,0.023420099,-0.280367129,-8.77228E-05,0.03877901,-0.295211881,-0.000280693,0.024757426,-0.283505941,-0.000848119,0.021031881,-0.297730297,-0.002685446,0.014609406,-0.280136634,0.00021,0.020432475,-0.309271089,-0.001690198,0.023086238,-0.300489406,-0.001674257,0.004881782,-0.316016238,-0.004093366,0.016465446,-0.305532574,-0.005386832,0.012377624,-0.332869505,-0.007441188,0.015702376,-0.304789208,-0.001858416,0.011939703,-0.302392574,-0.001854257,0.015913267,-0.299462079,-0.004887129,0.014715347,-0.277875743,-0.001999307,0.004359703,-0.268854356,0.000160594,0.017022376,-0.279303564,-0.001345644,0.018170891,-0.260746337,-0.000883663,0.012529109,-0.268405842,-0.000902376,0.014638614,-0.25846703,-0.001859406,0.019053663,-0.304997327,-0.002790891,0.023867327,-0.29451,-0.004003861,0.016550792,-0.332156337,0.00036901,-0.002055347,-0.323081188,-0.002803861,0.025441683,-0.306235644,-0.000540594,0.013788911,-0.302936634,-0.002792871,0.009415149,-0.302206634,-0.001036535,0.006016634,-0.277946337,-0.002809604,0.019433465,-0.28845,-0.002614752,0.017975545,-0.277957228,-0.002852178,0.013258416,-0.28216505,-0.000600099,0.01057396,-0.300195842,-0.000320396,0.014838317,-0.290793762,-0.001853564,0.010666337,-0.286828812,0.000184653,0.026633861,-0.290504356,-0.002259901,0.017424356,-0.213765743,-0.001122871,0.011198317,-0.222709109,-0.001576139,0.015422772,-0.216173762,-0.001947129,0.013507624,-0.285634752,-0.000153069,0.009381683,-0.268739901,0.001230198,0.013268812,-0.26574802,0.000548218,0.019232475
-33,-0.263779505,0.000458614,0.024670099,-0.271537129,0.001322277,0.03975901,-0.285941881,0.001299307,0.025807426,-0.274785941,0.000381881,0.022141881,-0.288610297,-0.001415446,0.015199406,-0.271716634,0.00116,0.021372475,-0.300121089,-0.000380198,0.023616238,-0.291429406,-0.000354257,0.006131782,-0.306206238,-0.002603366,0.017505446,-0.295572574,-0.003726832,0.013607624,-0.322509505,-0.005561188,0.016482376,-0.295349208,-0.000398416,0.013069703,-0.293372574,-0.000244257,0.017003267,-0.290382079,-0.003437129,0.015605347,-0.269605743,-0.000699307,0.005469703,-0.261024356,0.001580594,0.018082376,-0.270833564,-5.56436E-05,0.018850891,-0.253156337,0.000146337,0.013529109,-0.260445842,0.000297624,0.015668614,-0.25056703,-0.000819406,0.019903663,-0.295887327,-0.001360891,0.024267327,-0.28554,-0.002723861,0.017090792,-0.322186337,0.00213901,-0.001085347,-0.313371188,-0.000903861,0.025801683,-0.296915644,0.000879406,0.014768911,-0.293676634,-0.001832871,0.010415149,-0.292876634,0.000553465,0.007176634,-0.269456337,-0.001589604,0.020343465,-0.2792,-0.001484752,0.019135545,-0.269537228,-0.001702178,0.014048416,-0.27348505,0.000609901,0.01142396,-0.290735842,0.000819604,0.015458317,-0.282023762,-0.000673564,0.011586337,-0.277868812,0.001514653,0.027333861,-0.281454356,-0.001199901,0.018034356,-0.206965743,-0.000362871,0.012808317,-0.216029109,-0.000816139,0.016482772,-0.209153762,-0.001117129,0.014897624,-0.277504752,0.000736931,0.010401683,-0.260469901,0.002350198,0.014048812,-0.25781802,0.001548218,0.020002475
-32,-0.255179505,0.001638614,0.025830099,-0.262797129,0.002602277,0.04059901,-0.276771881,0.002789307,0.026767426,-0.266165941,0.001571881,0.023181881,-0.279540297,-0.000165446,0.015739406,-0.263386634,0.00207,0.022212475,-0.291001089,0.000869802,0.024076238,-0.282439406,0.000925743,0.007341782,-0.296426238,-0.001143366,0.018475446,-0.285672574,-0.002086832,0.014737624,-0.312209505,-0.003661188,0.017162376,-0.285959208,0.001011584,0.014119703,-0.284432574,0.001275743,0.018033267,-0.281342079,-0.002017129,0.016375347,-0.261395743,0.000560693,0.006489703,-0.253274356,0.002910594,0.019082376,-0.262403564,0.001194356,0.019410891,-0.245596337,0.001126337,0.014389109,-0.252525842,0.001447624,0.016608614,-0.24267703,0.000170594,0.020643663,-0.286867327,5.91089E-05,0.024577327,-0.27661,-0.001463861,0.017550792,-0.312266337,0.00381901,-0.000145347,-0.303691188,0.000906139,0.026151683,-0.287675644,0.002249406,0.015658911,-0.284496634,-0.000872871,0.011365149,-0.283626634,0.002103465,0.008266634,-0.261036337,-0.000389604,0.021183465,-0.27005,-0.000384752,0.020165545,-0.261167228,-0.000592178,0.014748416,-0.26487505,0.001779901,0.01219396,-0.281355842,0.001929604,0.016028317,-0.273313762,0.000466436,0.012456337,-0.268948812,0.002784653,0.027953861,-0.272474356,-0.000179901,0.018574356,-0.200205743,0.000297129,0.014298317,-0.209379109,-0.000136139,0.017432772,-0.202153762,-0.000327129,0.016177624,-0.269394752,0.001556931,0.011361683,-0.252239901,0.003390198,0.014788812,-0.24991802,0.002478218,0.020702475
-31,-0.246719505,0.002698614,0.026930099,-0.254177129,0.003742277,0.04131901,-0.267701881,0.004179307,0.027687426,-0.257635941,0.002711881,0.024161881,-0.270530297,0.001054554,0.016229406,-0.255156634,0.00296,0.022992475,-0.281921089,0.002069802,0.024476238,-0.273539406,0.002145743,0.008501782,-0.286686238,0.000276634,0.019365446,-0.275822574,-0.000466832,0.015777624,-0.301989505,-0.001801188,0.017762376,-0.276639208,0.002381584,0.015099703,-0.275582574,0.002715743,0.018993267,-0.272352079,-0.000617129,0.017025347,-0.253235743,0.001770693,0.007419703,-0.245584356,0.004130594,0.020022376,-0.254033564,0.002394356,0.019870891,-0.238086337,0.002056337,0.015149109,-0.244625842,0.002527624,0.017468614,-0.23480703,0.001120594,0.021283663,-0.277927327,0.001429109,0.024837327,-0.2677,-0.000223861,0.017950792,-0.302396337,0.00539901,0.000774653,-0.294071188,0.002616139,0.026481683,-0.278525644,0.003569406,0.016468911,-0.275396634,8.71287E-05,0.012265149,-0.274456634,0.003593465,0.009296634,-0.252676337,0.000780396,0.021953465,-0.261,0.000705248,0.021085545,-0.252847228,0.000477822,0.015388416,-0.25631505,0.002899901,0.01290396,-0.272065842,0.003019604,0.016548317,-0.264673762,0.001556436,0.013306337,-0.260078812,0.003994653,0.028503861,-0.263584356,0.000810099,0.019024356,-0.193485743,0.000897129,0.015668317,-0.202749109,0.000473861,0.018272772,-0.195173762,0.000432871,0.017347624,-0.261304752,0.002316931,0.012271683,-0.244069901,0.004360198,0.015478812,-0.24205802,0.003328218,0.021342475
-30,-0.238409505,0.003658614,0.027970099,-0.245657129,0.004762277,0.04191901,-0.258721881,0.005449307,0.028547426,-0.249195941,0.003801881,0.025091881,-0.261570297,0.002224554,0.016679406,-0.247026634,0.00382,0.023702475,-0.272861089,0.003189802,0.024826238,-0.264699406,0.003295743,0.009621782,-0.277006238,0.001656634,0.020195446,-0.266052574,0.001103168,0.016757624,-0.291839505,1.88119E-05,0.018302376,-0.267389208,0.003671584,0.016009703,-0.266792574,0.004045743,0.019913267,-0.263422079,0.000732871,0.017605347,-0.245125743,0.002920693,0.008289703,-0.237964356,0.005230594,0.020922376,-0.245693564,0.003534356,0.020260891,-0.230606337,0.002936337,0.015809109,-0.236765842,0.003547624,0.018268614,-0.22695703,0.002030594,0.021843663,-0.269037327,0.002759109,0.025047327,-0.25883,0.000986139,0.018290792,-0.292576337,0.00685901,0.001674653,-0.284481188,0.004206139,0.026811683,-0.269475644,0.004819406,0.017208911,-0.266386634,0.001027129,0.013125149,-0.265386634,0.005013465,0.010256634,-0.244396337,0.001910396,0.022673465,-0.25205,0.001765248,0.021905545,-0.244577228,0.001517822,0.015968416,-0.24780505,0.003959901,0.01355396,-0.262865842,0.004059604,0.017028317,-0.256083762,0.002586436,0.014146337,-0.251248812,0.005124653,0.028983861,-0.254764356,0.001760099,0.019414356,-0.186835743,0.001447129,0.016918317,-0.196159109,0.001033861,0.019022772,-0.188233762,0.001192871,0.018407624,-0.253244752,0.003026931,0.013121683,-0.235939901,0.005230198,0.016138812,-0.23421802,0.004098218,0.021922475
-29,-0.230229505,0.004508614,0.028950099,-0.237247129,0.005662277,0.04240901,-0.249831881,0.006579307,0.029357426,-0.240835941,0.004831881,0.026001881,-0.252650297,0.003324554,0.017089406,-0.238996634,0.00465,0.024362475,-0.263841089,0.004219802,0.025136238,-0.255919406,0.004365743,0.010701782,-0.267396238,0.002976634,0.020965446,-0.256362574,0.002603168,0.017657624,-0.281759505,0.001758812,0.018782376,-0.258199208,0.004891584,0.016879703,-0.258062574,0.005255743,0.020773267,-0.254562079,0.002022871,0.018105347,-0.237055743,0.004020693,0.009119703,-0.230394356,0.006230594,0.021782376,-0.237403564,0.004614356,0.020610891,-0.223156337,0.003756337,0.016409109,-0.228935842,0.004507624,0.019018614,-0.21912703,0.002880594,0.022343663,-0.260197327,0.004019109,0.025217327,-0.24999,0.002146139,0.018600792,-0.282796337,0.00817901,0.002554653,-0.274931188,0.005646139,0.027121683,-0.260515644,0.005989406,0.017898911,-0.257466634,0.001957129,0.013945149,-0.256406634,0.006343465,0.011186634,-0.236166337,0.002990396,0.023343465,-0.2432,0.002805248,0.022625545,-0.236347228,0.002507822,0.016498416,-0.23935505,0.004969901,0.01415396,-0.253765842,0.005049604,0.017478317,-0.247563762,0.003556436,0.014976337,-0.242468812,0.006184653,0.029393861,-0.246034356,0.002670099,0.019744356,-0.180265743,0.001967129,0.018058317,-0.189619109,0.001573861,0.019662772,-0.181353762,0.001942871,0.019377624,-0.245204752,0.003686931,0.013921683,-0.227869901,0.006020198,0.016758812,-0.22640802,0.004788218,0.022452475
-28,-0.222189505,0.005278614,0.029880099,-0.228927129,0.006442277,0.04278901,-0.241001881,0.007579307,0.030117426,-0.232555941,0.005781881,0.026881881,-0.243770297,0.004334554,0.017479406,-0.231066634,0.00544,0.024972475,-0.254831089,0.005159802,0.025406238,-0.247209406,0.005335743,0.011741782,-0.257876238,0.004236634,0.021685446,-0.246782574,0.004033168,0.018507624,-0.271759505,0.003408812,0.019232376,-0.249069208,0.006021584,0.017699703,-0.249362574,0.006355743,0.021573267,-0.245752079,0.003252871,0.018575347,-0.229025743,0.005040693,0.009919703,-0.222864356,0.007100594,0.022622376,-0.229143564,0.005604356,0.020930891,-0.215746337,0.004516337,0.016949109,-0.221125842,0.005387624,0.019738614,-0.21132703,0.003690594,0.022773663,-0.251377327,0.005199109,0.025377327,-0.24118,0.003246139,0.018880792,-0.273056337,0.00934901,0.003424653,-0.265421188,0.006936139,0.027421683,-0.251635644,0.007069406,0.018528911,-0.248626634,0.002847129,0.014735149,-0.247516634,0.007563465,0.012066634,-0.228006337,0.004010396,0.023973465,-0.23445,0.003835248,0.023245545,-0.228157228,0.003467822,0.016988416,-0.23096505,0.005919901,0.01470396,-0.244745842,0.005989604,0.017898317,-0.239093762,0.004446436,0.015786337,-0.233738812,0.007144653,0.029763861,-0.237394356,0.003550099,0.020024356,-0.173785743,0.002467129,0.019078317,-0.183129109,0.002093861,0.020232772,-0.174553762,0.002682871,0.020247624,-0.237174752,0.004296931,0.014681683,-0.219839901,0.006710198,0.017348812,-0.21860802,0.005398218,0.022932475
-27,-0.214259505,0.005968614,0.030740099,-0.220707129,0.007112277,0.04307901,-0.232221881,0.008419307,0.030817426,-0.224345941,0.006651881,0.027731881,-0.234900297,0.005254554,0.017839406,-0.223206634,0.00618,0.025532475,-0.245841089,0.005999802,0.025656238,-0.238539406,0.006205743,0.012741782,-0.248436238,0.005426634,0.022355446,-0.237292574,0.005353168,0.019297624,-0.261819505,0.004928812,0.019642376,-0.239999208,0.007041584,0.018489703,-0.240692574,0.007335743,0.022323267,-0.236992079,0.004402871,0.019015347,-0.221015743,0.005980693,0.010689703,-0.215354356,0.007850594,0.023412376,-0.220913564,0.006504356,0.021220891,-0.208346337,0.005206337,0.017449109,-0.213335842,0.006187624,0.020418614,-0.20355703,0.004440594,0.023153663,-0.242567327,0.006289109,0.025517327,-0.23241,0.004276139,0.019140792,-0.263356337,0.01036901,0.004274653,-0.255941188,0.008066139,0.027681683,-0.242825644,0.008039406,0.019118911,-0.239856634,0.003707129,0.015485149,-0.238716634,0.008673465,0.012906634,-0.219886337,0.004970396,0.024553465,-0.22579,0.004835248,0.023795545,-0.219997228,0.004367822,0.017458416,-0.22260505,0.006799901,0.01521396,-0.235805842,0.006869604,0.018298317,-0.230663762,0.005266436,0.016586337,-0.225038812,0.008014653,0.030073861,-0.228824356,0.004370099,0.020254356,-0.167425743,0.002957129,0.020008317,-0.176689109,0.002603861,0.020732772,-0.167813762,0.003392871,0.021057624,-0.229164752,0.004876931,0.015391683,-0.211859901,0.007310198,0.017908812,-0.21082802,0.005928218,0.023352475
-26,-0.206429505,0.006588614,0.031530099,-0.212567129,0.007672277,0.04326901,-0.223501881,0.009119307,0.031427426,-0.216185941,0.007431881,0.028551881,-0.226040297,0.006054554,0.018179406,-0.215406634,0.00685,0.026032475,-0.236881089,0.006719802,0.025866238,-0.229909406,0.006965743,0.013701782,-0.239096238,0.006516634,0.022985446,-0.227912574,0.006573168,0.020057624,-0.251949505,0.006308812,0.020032376,-0.230989208,0.007941584,0.019249703,-0.232032574,0.008195743,0.023003267,-0.228282079,0.005472871,0.019435347,-0.213015743,0.006840693,0.011439703,-0.207874356,0.008480594,0.024162376,-0.212703564,0.007314356,0.021500891,-0.200966337,0.005826337,0.017909109,-0.205565842,0.006907624,0.021068614,-0.19581703,0.005130594,0.023473663,-0.233747327,0.007259109,0.025637327,-0.22366,0.005226139,0.019380792,-0.253696337,0.01122901,0.005114653,-0.246491188,0.009026139,0.027911683,-0.234055644,0.008889406,0.019648911,-0.231126634,0.004507129,0.016195149,-0.229986634,0.009663465,0.013726634,-0.211826337,0.005850396,0.025083465,-0.21721,0.005805248,0.024275545,-0.211877228,0.005217822,0.017898416,-0.21429505,0.007599901,0.01567396,-0.226925842,0.007659604,0.018678317,-0.222263762,0.006006436,0.017366337,-0.216378812,0.008774653,0.030333861,-0.220314356,0.005140099,0.020444356,-0.161165743,0.003437129,0.020858317,-0.170309109,0.003103861,0.021172772,-0.161173762,0.004082871,0.021787624,-0.221174752,0.005406931,0.016051683,-0.203919901,0.007810198,0.018418812,-0.20304802,0.006358218,0.023742475
